name,club,season,position,overall,nationality
Munir El Haddadi,Sevilla FC,2020/21,ST,79,Spain
Adnan Januzaj,Real Sociedad,2020/21,RW,80,Belgium
Thierry Rendall Correia,Valencia CF,2020/21,RB,72,Portugal
Yuri Berchiche Izeta,Athletic Club de Bilbao,2020/21,LB,83,Spain
José Ignacio Fernández Iglesias,Real Madrid,2020/21,CB,80,Spain
Pedro Manuel Mineiro Mendes,UD Almería,2020/21,ST,71,Portugal
Raúl de Tomás Gómez,RCD Espanyol,2020/21,ST,78,Spain
Gustavo Maia Da Silva,FC Barcelona,2020/21,LW,69,Brazil
Ander Capa Rodríguez,Athletic Club de Bilbao,2020/21,RB,81,Spain
Ante Palaversa,Getafe CF,2020/21,CM,71,Croatia
Jesús Joaquín Fernández Sáez,Sevilla FC,2020/21,RW,81,Spain
Luuk de Jong,Sevilla FC,2020/21,ST,80,Netherlands
Sergio Akieme Rodríguez,UD Almería,2020/21,LB,67,Spain
Lucas Vázquez Iglesias,Real Madrid,2020/21,RW,80,Spain
Sébastien Corchia,Sevilla FC,2020/21,RB,75,France
Oriol Busquets Mas,FC Barcelona,2020/21,CDM,67,Spain
Hugo Guillamón Sammartín,Valencia CF,2020/21,CB,69,Spain
Iker Muniain Goñi,Athletic Club de Bilbao,2020/21,CAM,83,Spain
Brais Méndez Portela,RC Celta,2020/21,RW,75,Spain
Carlos Fernández Luna,Sevilla FC,2020/21,ST,76,Spain
Víctor Mollejo Carpintero,Atlético Madrid,2020/21,LW,69,Spain
Iñigo Córdoba Kerejeta,Athletic Club de Bilbao,2020/21,LW,77,Spain
Rodrigo Riquelme Reche,Atlético Madrid,2020/21,RW,66,Spain
Fernando Reges,Sevilla FC,2020/21,CDM,83,Brazil
Alejandro Remiro Gargallo,Real Sociedad,2020/21,GK,80,Spain
Javier Puado Díaz,RCD Espanyol,2020/21,ST,72,Spain
Jordi Escobar Fernández,Valencia CF,2020/21,ST,64,Spain
Antonio Latorre Grueso,Valencia CF,2020/21,LB,73,Spain
Cristian Olivera,UD Almería,2020/21,RW,66,Uruguay
Manuel Vallejo Galván,Valencia CF,2020/21,ST,74,Spain
Yunus Musah,Valencia CF,2020/21,RW,64,England
Bryan Gil Salvatierra,Sevilla FC,2020/21,LW,65,Spain
Manuel Sánchez de la Peña,Atlético Madrid,2020/21,LB,70,Spain
Carlos Neva Tey,Granada CF,2020/21,LB,76,Spain
Joaquín Sánchez Rodríguez,Real Betis,2020/21,LW,80,Spain
Lorenzo Morón García,Real Betis,2020/21,ST,78,Spain
Enes Ünal,Getafe CF,2020/21,ST,75,Turkey
Matheus Pereira da Silva,FC Barcelona,2020/21,CAM,69,Brazil
Robert Kenedy Nunes do Nascimento,Granada CF,2020/21,LW,76,Brazil
Iago Aspas Juncal,RC Celta,2020/21,ST,84,Spain
Darwin Machís,Granada CF,2020/21,LW,78,Venezuela
Joan Jordán Moreno,Sevilla FC,2020/21,CM,79,Spain
Matheus Fernandes Siqueira,FC Barcelona,2020/21,CM,68,Brazil
Rui Tiago Dantas da Silva,Granada CF,2020/21,GK,79,Portugal
Aitor Fernández,Levante UD,2020/21,GK,83,Spain
Arijanet Muric,Girona FC,2020/21,GK,69,Kosovo
Pablo Maffeo Becerra,SD Huesca,2020/21,RB,74,Spain
Jonathan Calleri,CA Osasuna,2020/21,ST,74,Argentina
Aihen Muñoz Capellán,Real Sociedad,2020/21,LB,73,Spain
Lucas Olaza,RC Celta,2020/21,LB,77,Uruguay
Alexandre Moreno Lopera,Real Betis,2020/21,LB,77,Spain
Yan Bueno Couto,Girona FC,2020/21,RB,64,Brazil
Braian Cufré,RCD Mallorca,2020/21,LB,74,Argentina
Gerónimo Rulli,Villarreal CF,2020/21,GK,82,Argentina
Damián Suárez,Getafe CF,2020/21,RB,80,Uruguay
Tomáš Vaclík,Sevilla FC,2020/21,GK,82,Czech Republic
Borja Iglesias Quintas,Real Betis,2020/21,ST,79,Spain
Javier Hernández Carrera,CD Leganés,2020/21,CB,68,Spain
Hugo Duro Perales,Real Madrid,2020/21,ST,68,Spain
Cristian Tello Herrera,Real Betis,2020/21,LW,78,Spain
Ramón Rodríguez Jiménez,Girona FC,2020/21,CM,64,Spain
Raúl García Escudero,Athletic Club de Bilbao,2020/21,ST,80,Spain
Rúben Miguel Nunes Vezo,Levante UD,2020/21,CB,77,Portugal
Filip Jörgensen,Villarreal CF,2020/21,GK,62,Sweden
Manuel García Alonso,Real Sporting de Gijón,2020/21,CAM,72,Spain
Nikola Kalinić,Atlético Madrid,2020/21,ST,77,Croatia
Rey Manaj,FC Barcelona,2020/21,ST,69,Albania
Okay Yokuşlu,RC Celta,2020/21,CDM,77,Turkey
Rubén Duarte Sánchez,Deportivo Alavés,2020/21,LB,77,Spain
Yoshinori Mutō,SD Eibar,2020/21,ST,72,Japan
Santiago Mina Lorenzo,RC Celta,2020/21,ST,76,Spain
Daniel Wass,Valencia CF,2020/21,RB,80,Denmark
Norberto Murara Neto,FC Barcelona,2020/21,GK,82,Brazil
Willian José da Silva,Real Sociedad,2020/21,ST,80,Brazil
Amath Ndiaye,Getafe CF,2020/21,LW,76,Senegal
Hugo Vallejo Avilés,Real Madrid,2020/21,LW,68,Spain
Ignacio Peña Sotorres,FC Barcelona,2020/21,GK,65,Spain
Adrián Marín Gómez,Deportivo Alavés,2020/21,LB,73,Spain
Diego Altube Suárez,Real Madrid,2020/21,GK,63,Spain
Martín Pascual Castillo,Rayo Vallecano,2020/21,CB,64,Spain
Marvin Olawale Akinlabi Park,Real Madrid,2020/21,RW,68,Spain
Shon Weissman,Real Valladolid CF,2020/21,ST,75,Israel
Denis Suárez Fernández,RC Celta,2020/21,RW,78,Spain
Iván Martínez Marqués,CA Osasuna,2020/21,GK,60,Spain
Šime Vrsaljko,Atlético Madrid,2020/21,RB,80,Croatia
Germán Valera Karabinaite,Atlético Madrid,2020/21,RW,65,Spain
Javier Ontiveros Parra,SD Huesca,2020/21,LW,75,Spain
Sergio López Galache,Real Valladolid CF,2020/21,RB,67,Spain
Rubén Blanco Veiga,RC Celta,2020/21,GK,76,Spain
Iker Losada Aragunde,RC Celta,2020/21,ST,68,Spain
David Soria Solís,Getafe CF,2020/21,GK,82,Spain
Alberto Soro Álvarez,Granada CF,2020/21,RW,70,Spain
Jasper Cillessen,Valencia CF,2020/21,GK,81,Netherlands
João António Antunes Carvalho,UD Almería,2020/21,CAM,71,Portugal
Ibrahim Amadou,Sevilla FC,2020/21,CDM,76,France
Jordi Mboula Queralt,RCD Mallorca,2020/21,RW,70,Spain
Jonathan Rodríguez Menéndez,CA Osasuna,2020/21,LW,78,Spain
Juan Brandáriz Movilla,UD Almería,2020/21,CB,64,Spain
Luis Advíncula,Rayo Vallecano,2020/21,RW,74,Peru
Moisés Gómez Bordonado,Villarreal CF,2020/21,LW,77,Spain
Rubén García Santos,CA Osasuna,2020/21,LW,79,Spain
Álex Collado Gutiérrez,FC Barcelona,2020/21,CM,65,Spain
Alejandro Pozo Pozo,Sevilla FC,2020/21,RB,70,Spain
Jorge Cuenca Barreno,UD Almería,2020/21,CB,64,Spain
Cristhian Stuani,Girona FC,2020/21,ST,79,Uruguay
Joris Gnagnon,Sevilla FC,2020/21,CB,76,France
Mario Gaspar Pérez Martínez,Villarreal CF,2020/21,RB,80,Spain
Sergi Darder Moll,RCD Espanyol,2020/21,CAM,77,Spain
Alfonso Pedraza Sag,Villarreal CF,2020/21,LB,75,Spain
Nicolás Melamed Ribaudo,RCD Espanyol,2020/21,CAM,64,Spain
Jeison Murillo,RC Celta,2020/21,CB,77,Colombia
Guido Rodríguez,Real Betis,2020/21,CDM,76,Argentina
Iddrisu Baba,RCD Mallorca,2020/21,CDM,72,Ghana
Nicholas Williams Arthuer,Athletic Club de Bilbao,2020/21,LW,64,Spain
Ignacio Vidal Miralles,CA Osasuna,2020/21,RB,76,Spain
Roberto González Bayón,UD Las Palmas,2020/21,RW,67,Spain
Ander Guevara Lajo,Real Sociedad,2020/21,CM,72,Spain
Raúl García de Haro,Real Betis,2020/21,ST,64,Spain
Antonio Barragán Fernández,Real Betis,2020/21,RB,73,Spain
Marko Dmitrović,SD Eibar,2020/21,GK,81,Serbia
Rubén Peña Jiménez,Villarreal CF,2020/21,RB,80,Spain
Yassine Bounou,Sevilla FC,2020/21,GK,76,Morocco
Valentín Vada,UD Almería,2020/21,CM,72,Argentina
Álvaro Negredo Sánchez,Cádiz CF,2020/21,ST,76,Spain
Sergio Camello Pérez,Atlético Madrid,2020/21,ST,64,Spain
Alberto Moreno Pérez,Villarreal CF,2020/21,LB,77,Spain
Asier Illarramendi,Real Sociedad,2020/21,CDM,80,Spain
Denis Cheryshev,Valencia CF,2020/21,LW,77,Russia
Florian Lejeune,Deportivo Alavés,2020/21,CB,77,France
Manuel Morlanes Ariño,UD Almería,2020/21,CM,72,Spain
Adrián de la Fuente,Villarreal CF,2020/21,CB,64,Spain
Enzo Zidane,UD Almería,2020/21,CAM,64,France
Ivo Grbić,Atlético Madrid,2020/21,GK,69,Croatia
Mickaël Malsa,Levante UD,2020/21,CM,70,France
Allan Nyom,Getafe CF,2020/21,RW,75,Cameroon
Andrés Martín García,Rayo Vallecano,2020/21,ST,66,Spain
Rafael Mir Vicente,SD Huesca,2020/21,RW,70,Spain
Unai Vencedor Paris,Athletic Club de Bilbao,2020/21,CM,65,Spain
Asier Villalibre Molina,Athletic Club de Bilbao,2020/21,ST,71,Spain
Fernando Pacheco Flores,Deportivo Alavés,2020/21,GK,82,Spain
Sergio Asenjo Andrés,Villarreal CF,2020/21,GK,82,Spain
Ignacio Monreal Eraso,Real Sociedad,2020/21,LB,80,Spain
Largie Ramazani,UD Almería,2020/21,RW,63,Belgium
Ivan Šaponjić,Atlético Madrid,2020/21,ST,68,Serbia
Nemanja Gudelj,Sevilla FC,2020/21,CDM,79,Serbia
Malcom Filipe Silva de Oliveira,FC Barcelona,2020/21,RW,82,Brazil
Yan Brice Eteki,Granada CF,2020/21,CDM,73,Cameroon
Sergio Arribas Calvo,Real Madrid,2020/21,CAM,64,Spain
Joseba Zaldúa Bengoetxea,Real Sociedad,2020/21,RB,79,Spain
Franco Vázquez,Sevilla FC,2020/21,CM,77,Argentina
Hatem Ben Arfa,Real Valladolid CF,2020/21,CAM,75,France
Sergio Escudero Palomo,Sevilla FC,2020/21,LB,80,Spain
Yassin Fekir,Real Betis,2020/21,LW,64,France
Ismael Casas Casado,Málaga CF,2020/21,RB,67,Spain
Claudio Bravo,Real Betis,2020/21,GK,77,Chile
Ager Aketxe Barrutia,UD Almería,2020/21,RW,71,Spain
Juan Manuel Sanabria,Atlético Madrid,2020/21,RW,65,Uruguay
Víctor Machín Pérez,Atlético Madrid,2020/21,LW,79,Spain
Waldo Rubio Martin,Real Valladolid CF,2020/21,LW,75,Spain
Aitor Buñuel Redrado,UD Almería,2020/21,RB,69,Spain
Ismael Gutiérrez Montilla,Deportivo Alavés,2020/21,CM,64,Spain
Manuel Agudo Durán,RC Celta,2020/21,LW,76,Spain
Sergio Guardiola Navarro,Real Valladolid CF,2020/21,ST,77,Spain
Daniel Gómez Alcón,Levante UD,2020/21,ST,70,Spain
Francisco José García Torres,Rayo Vallecano,2020/21,LB,64,Spain
Gaizka Larrazabal,Athletic Club de Bilbao,2020/21,RW,70,Spain
Peru Nolaskoain Esnal,Athletic Club de Bilbao,2020/21,CM,69,Spain
Eliaquim Mangala,Valencia CF,2020/21,CB,74,France
David Jason Remeseiro Salgueiro,Valencia CF,2020/21,RW,76,Spain
Francisco Guerrero Martín,Real Betis,2020/21,RW,72,Spain
Jeando Fuchs,Deportivo Alavés,2020/21,CM,69,Cameroon
José Ángel Pozo la Rosa,Rayo Vallecano,2020/21,CM,71,Spain
Jaume Domenech Sánchez,Valencia CF,2020/21,GK,78,Spain
Jorge de Frutos Sebastián,Levante UD,2020/21,LW,70,Spain
Martín Merquelanz,Real Sociedad,2020/21,LW,75,Spain
Miguel de la Fuente,Real Valladolid CF,2020/21,ST,67,Spain
Rubén Alcaraz Jiménez,Real Valladolid CF,2020/21,CM,78,Spain
Takashi Inui,SD Eibar,2020/21,LW,78,Japan
Ángel Fortuño Viñas,RCD Espanyol,2020/21,GK,62,Spain
Jorge Molina Vidal,Granada CF,2020/21,ST,78,Spain
Carlos Bacca,Villarreal CF,2020/21,ST,77,Colombia
Facundo Roncaglia,CA Osasuna,2020/21,CB,73,Argentina
Álvaro Tejero Sacristán,SD Eibar,2020/21,RB,74,Spain
Koba Koindredi,Valencia CF,2020/21,CM,63,France
Carlos Clerc Martínez,Levante UD,2020/21,LB,76,Spain
Erick Cabaco,Getafe CF,2020/21,CB,74,Uruguay
Rodrigo Battaglia,Deportivo Alavés,2020/21,CM,75,Argentina
Iñigo Vicente Elorduy,Athletic Club de Bilbao,2020/21,LW,70,Spain
Roberto López Alcaide,Real Sociedad,2020/21,CAM,64,Spain
Ibai Gómez Pérez,Athletic Club de Bilbao,2020/21,RW,79,Spain
Jorge Sáenz de Miera,RC Celta,2020/21,CB,70,Spain
Kévin Manuel Rodrigues,SD Eibar,2020/21,LW,74,Portugal
Martín Montoya Torralbo,Real Betis,2020/21,RB,77,Spain
Oscar De Marcos Arana,Athletic Club de Bilbao,2020/21,RB,78,Spain
Daniel Martín Fernández,Real Betis,2020/21,GK,70,Spain
Roque Mesa Quevedo,Sevilla FC,2020/21,CM,77,Spain
Xavier Hernández Creus,FC Barcelona,2020/21,CM,86,Spain
Jonathan Montiel Caballero,Rayo Vallecano,2020/21,CAM,65,Spain
Antonio José Rodríguez Díaz,Granada CF,2020/21,RW,77,Spain
Jaime Mata Arnaiz,Getafe CF,2020/21,ST,79,Spain
Jordi Masip López,Real Valladolid CF,2020/21,GK,81,Spain
Antonio Villa Suárez,Real Valladolid CF,2020/21,LW,77,Spain
Martín Aguirregabiria,Deportivo Alavés,2020/21,RB,75,Spain
Víctor Campuzano Bonilla,RCD Espanyol,2020/21,ST,70,Spain
Hugo Mallo Novegil,RC Celta,2020/21,RB,78,Spain
Shinji Okazaki,SD Huesca,2020/21,ST,72,Japan
Jon Morcillo Conesa,Athletic Club de Bilbao,2020/21,LW,69,Spain
Lucas Boyé,Elche CF,2020/21,LW,69,Argentina
Manuel Trigueros Muñoz,Villarreal CF,2020/21,CM,78,Spain
Diego González Polanco,Málaga CF,2020/21,CB,69,Spain
Hernâni Jorge Santos Fortes,Levante UD,2020/21,RW,76,Portugal
Roberto Soldado Rillo,Granada CF,2020/21,ST,76,Spain
Sidnei Rechel da Silva Júnior,Real Betis,2020/21,CB,79,Brazil
Víctor Ruiz Torre,Real Betis,2020/21,CB,77,Spain
Marc Cardona Rovira,CA Osasuna,2020/21,ST,74,Spain
Modibo Sagnan,Real Sociedad,2020/21,CB,69,France
Víctor Camarasa Ferrando,Real Betis,2020/21,CM,75,Spain
Aleix Vidal Parreu,Sevilla FC,2020/21,RW,77,Spain
Juan Pablo Añor,Málaga CF,2020/21,RW,71,Venezuela
Rubén Sobrino Pozuelo,Valencia CF,2020/21,ST,75,Spain
Jon Bautista Orgilles,Real Sociedad,2020/21,ST,70,Spain
Beñat Etxebarria Urkiaga,Athletic Club de Bilbao,2020/21,CM,80,Spain
Brandon Thomas Llamas,CA Osasuna,2020/21,ST,69,Spain
Tiago Manuel Dias Correia,Rayo Vallecano,2020/21,LW,72,Portugal
Víctor David Díaz Miguel,Granada CF,2020/21,RB,78,Spain
Álvaro Vadillo Cifuentes,RC Celta,2020/21,RW,74,Spain
Ante Budimir,RCD Mallorca,2020/21,ST,76,Croatia
Hicham Boussefiane,Málaga CF,2020/21,RW,67,Morocco
Javier Aparicio Gómez,Real Valladolid CF,2020/21,RB,67,Spain
Santiago Bueno,Girona FC,2020/21,CB,64,Uruguay
Valery Fernández Estrada,Girona FC,2020/21,RW,67,Spain
Andoni Gorosabel Espinosa,Real Sociedad,2020/21,RB,71,Spain
Anthony Lozano,Cádiz CF,2020/21,ST,70,Honduras
Antonio Cortés Heredia,Granada CF,2020/21,ST,68,Spain
Jonás Ramalho Chimeno,Girona FC,2020/21,CB,72,Spain
Mikel Vesga Arruti,Athletic Club de Bilbao,2020/21,CM,75,Spain
Pedro León Sánchez Gil,SD Eibar,2020/21,RW,79,Spain
Darío Poveda Romera,Getafe CF,2020/21,ST,62,Spain
Javier Sánchez de Felipe,Real Valladolid CF,2020/21,CB,70,Spain
Joan Sastre Vanrell,RCD Mallorca,2020/21,RB,72,Spain
Jon Guridi Aldalur,Real Sociedad,2020/21,CM,69,Spain
Jorge Miramón,Levante UD,2020/21,RB,76,Spain
Borja González Tomás,CD Leganés,2020/21,ST,73,Spain
Gastón Silva,SD Huesca,2020/21,LB,75,Uruguay
Gonzalo Melero Manzanares,Levante UD,2020/21,CM,75,Spain
Lago Júnior,RCD Mallorca,2020/21,RW,75,Ivory Coast
Roberto Torres Morales,CA Osasuna,2020/21,RW,77,Spain
Sergio Herrera Pirón,CA Osasuna,2020/21,GK,76,Spain
Fernando Niño Rodríguez,Villarreal CF,2020/21,ST,65,Spain
Adrián Embarba Blazquez,RCD Espanyol,2020/21,RW,75,Spain
Christian Rivera Hernández,UD Las Palmas,2020/21,CM,66,Spain
Lucas Torró Marset,CA Osasuna,2020/21,CDM,73,Spain
Ramiro Funes Mori,Villarreal CF,2020/21,CB,75,Argentina
Fabián Orellana,Real Valladolid CF,2020/21,RW,79,Chile
Leonardo Ulloa,Rayo Vallecano,2020/21,ST,70,Argentina
Miguel Ángel Moyá Rumbo,Real Sociedad,2020/21,GK,78,Spain
Jaume Vicent Costa Jordá,Villarreal CF,2020/21,LB,79,Spain
John Guidetti,Deportivo Alavés,2020/21,ST,74,Sweden
Juan Francisco Martínez Modesto,Elche CF,2020/21,ST,70,Spain
Sergi Palencia Hurtado,CD Leganés,2020/21,RB,72,Spain
Jonathan Silva Vieira,UD Las Palmas,2020/21,LB,69,Brazil
Iñigo Lekue Martínez,Athletic Club de Bilbao,2020/21,RB,74,Spain
Jawad El Yamiq,Real Valladolid CF,2020/21,CB,74,Morocco
Martín Zubimendi Ibáñez,Real Sociedad,2020/21,CM,63,Spain
Miguel Juan Llambrich,RCD Espanyol,2020/21,RB,72,Spain
Damian Kądzior,SD Eibar,2020/21,RW,74,Poland
Dídac Vilà Roselló,RCD Espanyol,2020/21,LB,75,Spain
Jairo Samperio Bustara,Málaga CF,2020/21,LW,71,Spain
Alfonso Espino,Cádiz CF,2020/21,LB,74,Uruguay
Enzo Lombardo,RCD Mallorca,2020/21,LW,70,France
Miguel Baeza Pérez,RC Celta,2020/21,CAM,63,Spain
Näis Djouahra,Real Sociedad,2020/21,LW,62,France
Gaku Shibasaki,CD Leganés,2020/21,CM,69,Japan
Iván Alejo Peralta,Cádiz CF,2020/21,LW,74,Spain
Jack Harper,Getafe CF,2020/21,ST,70,Scotland
Keidi Bare,RCD Espanyol,2020/21,CM,67,Albania
Nemanja Radoja,Levante UD,2020/21,CM,75,Serbia
Juan Miguel Jiménez López,Real Betis,2020/21,LW,75,Spain
Maxime Gonalons,Granada CF,2020/21,CDM,76,France
Mikel Balenziaga,Athletic Club de Bilbao,2020/21,LB,74,Spain
Vicente Iborra de la Fuente,Villarreal CF,2020/21,CDM,79,Spain
Daniel Raba Antolin,Villarreal CF,2020/21,RW,73,Spain
Darko Brašanac,CA Osasuna,2020/21,CM,76,Serbia
Edgar Antonio Méndez Ortega,Deportivo Alavés,2020/21,RW,73,Spain
Ignacio Méndez Fernández,Real Sporting de Gijón,2020/21,CM,68,Spain
Jonathan Silva,CD Leganés,2020/21,LB,75,Argentina
Luis Jesús Pérez Maqueda,Real Valladolid CF,2020/21,RB,72,Spain
Álvaro García Rivera,Rayo Vallecano,2020/21,LW,72,Spain
David Juncà Reñé,RC Celta,2020/21,LB,72,Spain
Filipe Luís Kasmirski,Atlético Madrid,2020/21,LB,85,Brazil
Juan Cruz Álvaro Armada,CA Osasuna,2020/21,LB,71,Spain
Sergio León Limones,Levante UD,2020/21,ST,74,Spain
Christian Sánchez,Real Sporting de Gijón,2020/21,GK,65,Cuba
Miguel Rodríguez Vidal,RC Celta,2020/21,RW,61,Spain
Deyverson Brum Silva Acosta,Deportivo Alavés,2020/21,ST,74,Brazil
Jeison Lucumí,Elche CF,2020/21,LW,73,Colombia
José Carlos Lazo Romero,UD Almería,2020/21,LW,72,Spain
Dimitri Foulquier,Granada CF,2020/21,RW,75,France
Iago Herrerín Buisán,Athletic Club de Bilbao,2020/21,GK,78,Spain
Joel Robles Blázquez,Real Betis,2020/21,GK,76,Spain
Santiago Ramos Mingo,FC Barcelona,2020/21,CB,62,Argentina
José Antonio Morente Oliva,Elche CF,2020/21,LW,69,Spain
Sabin Merino Zuloaga,CD Leganés,2020/21,LW,70,Spain
Salvador Sánchez Ponce,Cádiz CF,2020/21,RW,74,Spain
Jeremías Conan Ledesma,Cádiz CF,2020/21,GK,74,Argentina
Jorge Franco Alviz,Deportivo Alavés,2020/21,LW,73,Spain
José Rodríguez Martínez,Málaga CF,2020/21,CDM,70,Spain
Alejandro Blanco Sánchez,Valencia CF,2020/21,LW,67,Spain
Borja Sainz Eguskiza,Deportivo Alavés,2020/21,RW,65,Spain
Isaac Palazón Camacho,Rayo Vallecano,2020/21,RW,68,Spain
Miguel Ángel Morro Muñoz,Rayo Vallecano,2020/21,GK,62,Spain
Abdoulaye Ba,Rayo Vallecano,2020/21,CB,66,Senegal
Alexander Alegría Moreno,RCD Mallorca,2020/21,ST,69,Spain
Iván Villar Martínez,RC Celta,2020/21,GK,68,Spain
José Aurelio Suárez García,Girona FC,2020/21,GK,66,Spain
José Ignacio Martínez García,Real Valladolid CF,2020/21,LB,78,Spain
Juan Sánchez Miño,Elche CF,2020/21,LB,75,Argentina
Kévin Soni,Villarreal CF,2020/21,CAM,66,Cameroon
José Manuel Jurado Marín,Cádiz CF,2020/21,CAM,70,Spain
Mario Suárez Mata,Rayo Vallecano,2020/21,CDM,74,Spain
Rubén Rochina Naixes,Levante UD,2020/21,RW,77,Spain
Joaquín Muñoz Benavides,SD Huesca,2020/21,RW,66,Spain
Antonio Sivera Salvá,Deportivo Alavés,2020/21,GK,72,Spain
Jozabed Sánchez Ruiz,Málaga CF,2020/21,CM,70,Spain
Juan Francisco Torres Belén,Atlético Madrid,2020/21,RB,80,Spain
Roberto Rosales,CD Leganés,2020/21,LB,77,Venezuela
Diego Varela Pampín,RC Celta,2020/21,LB,61,Spain
Enrique Barja Afonso,CA Osasuna,2020/21,LW,69,Spain
Kenan Kodro,Athletic Club de Bilbao,2020/21,ST,68,Bosnia Herzegovina
Tomás Cardona,UD Las Palmas,2020/21,CB,70,Argentina
Wilfrid Kaptoum,Real Betis,2020/21,CM,68,Cameroon
Andrés Eduardo Fernández Moreno,SD Huesca,2020/21,GK,78,Spain
Borja García Freire,SD Huesca,2020/21,CAM,75,Spain
Giorgi Makaridze,UD Almería,2020/21,GK,76,Georgia
Iván López Mendoza,Levante UD,2020/21,RB,71,Spain
José Ángel Valdés Díaz,SD Eibar,2020/21,LB,79,Spain
Kenneth Omeruo,CD Leganés,2020/21,CB,73,Nigeria
Samuel Sáiz Alonso,Girona FC,2020/21,CAM,70,Spain
Alejandro Díez Salomón,UD Las Palmas,2020/21,RB,70,Spain
Borja Garcés Moreno,Atlético Madrid,2020/21,ST,64,Spain
Luca Sangalli Fuentes,Real Sociedad,2020/21,CM,72,Spain
Marcos André de Sousa Mendonça,Real Valladolid CF,2020/21,ST,69,Brazil
Pol Lozano Vizuete,RCD Espanyol,2020/21,CM,63,Spain
Vicente Esquerdo Santas,Valencia CF,2020/21,CAM,66,Spain
Anuar Mohamed Tuhami,Real Valladolid CF,2020/21,CDM,75,Morocco
Jesús Areso Blanco,Athletic Club de Bilbao,2020/21,RB,65,Spain
Lluis López Marmol,RCD Espanyol,2020/21,CB,69,Spain
Alejandro Fernández Iglesias,Cádiz CF,2020/21,CAM,74,Spain
Daniel Pacheco Lobato,Málaga CF,2020/21,LW,70,Spain
Daniel Rodríguez Vázquez,RCD Mallorca,2020/21,LW,75,Spain
Diego López Rodríguez,RCD Espanyol,2020/21,GK,76,Spain
Álvaro Lemos Collazo,UD Las Palmas,2020/21,RB,71,Spain
Claudio Mendes Vicente,UD Las Palmas,2020/21,LW,63,Spain
Javier Avilés Cortés,CD Leganés,2020/21,RW,68,Spain
Jonathan Toro,SD Huesca,2020/21,LW,70,Honduras
Juan de Dios Rivas,Málaga CF,2020/21,CB,65,Spain
Pablo Gozálbez Gilabert,Valencia CF,2020/21,CAM,64,Spain
Ramón Enríquez Rodríguez,Málaga CF,2020/21,CM,63,Spain
Javier Galán Gil,SD Huesca,2020/21,LB,72,Spain
Jokin Ezkieta Mendiburu,Athletic Club de Bilbao,2020/21,GK,67,Spain
José Mena Rodríguez,Sevilla FC,2020/21,CDM,63,Spain
José Manuel Arnáiz Díaz,CD Leganés,2020/21,LW,70,Spain
José Manuel Rodríguez Benito,Getafe CF,2020/21,CB,72,Spain
Luis Rioja González,Deportivo Alavés,2020/21,LW,74,Spain
Murilo de Souza Costa,RCD Mallorca,2020/21,RW,74,Brazil
Rodrigo Tarín Higón,CD Leganés,2020/21,CB,69,Spain
Saúl García Cabrero,Real Sporting de Gijón,2020/21,LB,71,Spain
Álvaro Fernández Llorente,SD Huesca,2020/21,GK,68,Spain
Cheick Doukouré,Levante UD,2020/21,CDM,72,Ivory Coast
Federico Vico Villegas,Granada CF,2020/21,CAM,74,Spain
Joaquín Navarro Jiménez,Deportivo Alavés,2020/21,RB,74,Spain
Roberto Jiménez Gago,Real Valladolid CF,2020/21,GK,75,Spain
Alejandro López Moreno,RCD Espanyol,2020/21,CM,68,Spain
Daniel Moreno Tallón,Rayo Vallecano,2020/21,LW,61,Spain
Enric Franquesa Dolz,Girona FC,2020/21,LB,68,Spain
Juan Manuel Gutiérrez,UD Almería,2020/21,CAM,63,Uruguay
Pelayo Morilla Cabal,Real Sporting de Gijón,2020/21,RW,63,Spain
Toni Herrero Oliva,Levante UD,2020/21,LB,64,Spain
Óscar Gil Regaño,RCD Espanyol,2020/21,RB,68,Spain
David Alba Fernández,Getafe CF,2020/21,CB,64,Spain
Lass Bangoura,Rayo Vallecano,2020/21,RW,65,Guinea
Miguel Ángel Garrido Cifuentes,Elche CF,2020/21,RWB,70,Spain
Sergio Araujo,UD Las Palmas,2020/21,ST,69,Argentina
Sofian Chakla,Villarreal CF,2020/21,CB,66,Morocco
Iván Cuéllar Sacristán,CD Leganés,2020/21,GK,77,Spain
Oier Olazábal Paredes,RCD Espanyol,2020/21,GK,74,Spain
Nabili Zoubdi Touaizi,RCD Espanyol,2020/21,ST,56,Spain
Jofre Cherta Clara,Girona FC,2020/21,CM,60,Spain
Juan Diego Molina Martínez,RCD Mallorca,2020/21,CAM,70,Spain
Juan Soriano Oropesa,Málaga CF,2020/21,GK,70,Spain
Iván Balliu,UD Almería,2020/21,RB,73,Albania
Sergio Álvarez Conde,RC Celta,2020/21,GK,74,Spain
Alejandro Sola López-Ocaña,Real Sociedad,2020/21,LW,69,Spain
Andoni Zubiaurre,Real Sociedad,2020/21,GK,67,Spain
Cristian Rivero Sabater,Valencia CF,2020/21,GK,67,Spain
Javier María Vázquez López,Sevilla FC,2020/21,LWB,61,Spain
Moctar El Hacen,Real Valladolid CF,2020/21,CM,69,Mauritania
Zourdine Thior,Real Sociedad,2020/21,RW,64,Senegal
Brian Oliván Herrero,RCD Mallorca,2020/21,LB,70,Spain
Jorge Ruiz Ojeda,Levante UD,2020/21,GK,70,Spain
David Costas Cordal,RC Celta,2020/21,CB,71,Spain
Iñigo Ruiz de Galarreta,RCD Mallorca,2020/21,CM,70,Spain
